Difficulty,Difficulty Score,Time (ms),Backtrack Count,Backtrack Fail Count
Easy,5100,3.5256,51,0
Easy,4400,2.5565,44,0
Easy,4800,3.3357,48,0
Easy,4400,1.381,44,0
Easy,4800,4.2623,48,0
Easy,4400,1.1855,44,0
Easy,4600,1.2219,46,0
Easy,5100,5.3894,51,0
Easy,5000,2.8649,50,0
Easy,5400,17.924,54,0
Easy,5200,3.1949,52,0
Easy,4800,9.3037,48,0
Easy,5100,3.3334,51,0
Easy,5300,20.5084,53,0
Easy,5200,17.1931,52,0
Easy,5000,6.8861,50,0
Easy,5400,28.8633,54,0
Easy,4800,1.5938,48,0
Easy,4700,2.3226,47,0
Easy,4700,1.3811,47,0
Easy,5200,4.4314,52,0
Easy,4500,2.485,45,0
Easy,4600,1.5208,46,0
Easy,5100,3.7952,51,0
Easy,4900,6.2645,49,0
Easy,4400,1.636,44,0
Easy,5000,8.5652,50,0
Easy,4800,2.2381,48,0
Easy,5300,14.2277,53,0
Easy,5100,4.7539,51,0
Easy,4900,3.6916,49,0
Easy,4600,1.2146,46,0
Easy,4500,2.6564,45,0
Easy,5000,4.3892,50,0
Easy,5400,21.6313,54,0
Easy,5000,4.166,50,0
Easy,5000,6.5598,50,0
Easy,4700,4.8498,47,0
Easy,5200,14.8755,52,0
Easy,4600,1.7333,46,0
Easy,5100,65.4734,51,0
Easy,4500,2.9201,45,0
Easy,4400,0.9154,44,0
Easy,4400,1.0243,44,0
Easy,4700,1.4084,47,0
Easy,4900,2.7175,49,0
Easy,4900,4.1812,49,0
Easy,5100,7.9159,51,0
Easy,4600,1.5181,46,0
Easy,5100,3.3054,51,0
Easy,5400,15.5624,54,0
Easy,5100,6.1765,51,0
Easy,4400,2.6105,44,0
Easy,5100,15.0585,51,0
Easy,4600,1.1733,46,0
Easy,4400,1.2323,44,0
Easy,4800,4.1519,48,0
Easy,5200,8.802,52,0
Easy,4400,1.2013,44,0
Easy,5100,4.7327,51,0
Easy,4700,2.0577,47,0
Easy,5100,2.8703,51,0
Easy,4700,2.4488,47,0
Easy,4400,0.8256,44,0
Easy,4900,2.7682,49,0
Easy,4600,1.8053,46,0
Easy,5200,34.7192,52,0
Easy,5100,11.5221,51,0
Easy,4600,4.4627,46,0
Easy,5100,7.0762,51,0
Easy,5100,7.6459,51,0
Easy,5300,4.0575,53,0
Easy,4900,2.5144,49,0
Easy,5400,8.9013,54,0
Easy,5400,16.2684,54,0
Easy,4400,1.597,44,0
Easy,5300,9.3529,53,0
Easy,4500,1.3337,45,0
Easy,4900,4.3168,49,0
Easy,4500,1.21,45,0
Easy,4500,1.3778,45,0
Easy,4500,1.5671,45,0
Easy,5000,7.2059,50,0
Easy,4900,1.492,49,0
Easy,4500,1.2525,45,0
Easy,5000,5.3817,50,0
Easy,4900,11.31,49,0
Easy,5300,7.354,53,0
Easy,4400,1.5639,44,0
Easy,4800,6.0547,48,0
Easy,5000,4.555,50,0
Easy,5300,41.2964,53,0
Easy,5300,83.4893,53,0
Easy,5100,234.9393,51,0
Easy,5300,30.5086,53,0
Easy,4700,14.366,47,0
Easy,5300,67.0612,53,0
Easy,4500,1.6261,45,0
Easy,5300,31.9592,53,0
Easy,5300,25.0648,53,0
Easy,4900,2.7909,49,0
Easy,4900,13.3609,49,0
Easy,5200,12.9008,52,0
Easy,5000,9.0799,50,0
Easy,5300,14.9507,53,0
Easy,5300,5.2736,53,0
Easy,4900,6.2753,49,0
Easy,4600,1.8207,46,0
Easy,4400,0.911,44,0
Easy,4900,8.4607,49,0
Easy,4600,2.1109,46,0
Easy,4900,2.4094,49,0
Easy,4600,2.7695,46,0
Easy,5400,14.1673,54,0
Easy,4800,2.4441,48,0
Easy,4800,1.8507,48,0
Easy,5000,3.6088,50,0
Easy,5200,61.9792,52,0
Easy,4700,9.337,47,0
Easy,4800,2.1647,48,0
Easy,4900,6.5085,49,0
Easy,5100,4.79,51,0
Easy,5000,2.3804,50,0
Easy,5100,14.8123,51,0
Easy,5000,6.1807,50,0
Easy,5300,24.8566,53,0
Easy,5400,10.5177,54,0
Easy,5300,6.7319,53,0
Easy,5200,6.1005,52,0
Easy,4500,1.3741,45,0
Easy,5100,6.0533,51,0
Easy,4600,2.4541,46,0
Easy,4500,1.6972,45,0
Easy,5300,2.5794,53,0
Easy,5100,3.7888,51,0
Easy,4500,1.5079,45,0
Easy,4500,4.8542,45,0
Easy,4400,3.0424,44,0
Easy,4400,1.0096,44,0
Easy,4600,1.212,46,0
Easy,5300,5.604,53,0
Easy,4600,1.8954,46,0
Easy,4600,3.3668,46,0
Easy,5000,1.185,50,0
Easy,5100,5.6824,51,0
Easy,4600,3.8457,46,0
Easy,4600,7.6315,46,0
Easy,4800,3.4541,48,0
Easy,5450,5.6262,51,0
Easy,4600,6.2566,46,0
Easy,4600,1.5782,46,0
Easy,4500,1.1794,45,0
Easy,4600,2.4786,46,0
Easy,5300,6.7961,53,0
Easy,4800,4.0623,48,0
Easy,4900,2.0309,49,0
Easy,4700,3.1821,47,0
Easy,5000,5.6157,50,0
Easy,4500,1.3092,45,0
Easy,4900,4.3818,49,0
Easy,4800,2.5137,48,0
Easy,4500,3.3849,45,0
Easy,4900,3.4092,49,0
Easy,5200,10.6635,52,0
Easy,4900,11.9179,49,0
Easy,4800,10.064,48,0
Easy,4500,2.1869,45,0
Easy,4700,3.0231,47,0
Easy,4700,6.5322,47,0
Easy,5100,2.1171,51,0
Easy,4600,0.9902,46,0
Easy,5000,8.8049,50,0
Easy,4500,1.5181,45,0
Easy,4900,4.0563,49,0
Easy,5200,46.6702,52,0
Easy,4700,2.4315,47,0
Easy,4400,1.8836,44,0
Easy,4900,16.8692,49,0
Easy,4700,2.291,47,0
Easy,5000,2.9307,50,0
Easy,4700,6.3142,47,0
Easy,4300,0.7445,43,0
Easy,5300,18.1538,53,0
Easy,5000,10.5205,50,0
Easy,5200,5.9067,52,0
Easy,4800,2.8332,48,0
Easy,4900,2.2451,49,0
Easy,5200,3.5644,52,0
Easy,5250,2.2661,49,0
Easy,5000,2.4118,50,0
Easy,4700,2.0053,47,0
Easy,4900,13.8703,49,0
Easy,5200,5.6136,52,0
Easy,5400,20.1284,54,0
Easy,4400,1.2654,44,0
Easy,4500,1.0613,45,0
Easy,5200,41.4357,52,0
Easy,4900,11.7577,49,0
Easy,4900,2.6841,49,0
Easy,4900,2.4108,49,0
Easy,5300,4.8495,53,0
Easy,4400,2.7347,44,0
Easy,4400,1.1165,44,0
Easy,5400,14.5059,54,0
Easy,5200,15.4156,52,0
Easy,4600,8.3329,46,0
Easy,4800,13.9728,48,0
Easy,4900,1.9889,49,0
Easy,4800,10.2516,48,0
Easy,5000,3.6814,50,0
Easy,4400,1.194,44,0
Easy,4700,1.9893,47,0
Easy,4500,1.6021,45,0
Easy,5400,48.4651,54,0
Easy,5000,3.8764,50,0
Easy,4500,3.0468,45,0
Easy,4500,1.3303,45,0
Easy,5300,43.0955,53,0
Easy,5200,22.971,52,0
Easy,4500,1.6459,45,0
Easy,4400,1.6543,44,0
Easy,4600,2.2751,46,0
Easy,5000,3.5675,50,0
Easy,5300,10.7278,53,0
Easy,5200,8.8604,52,0
Easy,4700,9.4402,47,0
Easy,4800,3.8961,48,0
Easy,4700,3.067,47,0
Easy,5350,5.0955,50,0
Easy,5000,3.02,50,0
Easy,4700,4.0247,47,0
Easy,4900,7.1587,49,0
Easy,4500,1.8379,45,0
Easy,4600,9.9743,46,0
Easy,5100,6.5947,51,0
Easy,5100,17.936,51,0
Easy,4900,3.5249,49,0
Easy,4800,1.581,48,0
Easy,5000,6.7169,50,0
Easy,5300,11.3794,53,0
Easy,4500,1.7497,45,0
Easy,4900,3.2919,49,0
Easy,5200,291.7197,52,0
Easy,4400,1.3028,44,0
Easy,4600,1.8128,46,0
Easy,4600,1.3147,46,0
Easy,4400,2.4898,44,0
Easy,4600,2.1983,46,0
Easy,4800,2.955,48,0
Easy,5300,35.4656,53,0
Easy,5100,9.0677,51,0
Easy,5200,4.6511,52,0
Easy,5300,40.7062,53,0
Easy,4500,3.7751,45,0
Easy,4400,1.0517,44,0
Easy,4600,1.762,46,0
Easy,5000,4.9163,50,0
Easy,4400,1.0272,44,0
