Difficulty,Difficulty Score,Time (ms),Recursive Solver Time (ms)
Medium,5600,112.9275,111.5405
Medium,6750,6.7516,5.5323
Medium,5500,8.8311,8.0104
Medium,5700,5.918,5.1004
Medium,5750,9.2826,8.345
Medium,5700,46.8323,45.291
Medium,5700,113.4475,112.4233
Medium,5700,8.5936,7.6406
Medium,5750,12.7418,11.7307
Medium,5400,52.6819,51.9448
Medium,6250,67.1802,66.0482
Medium,5800,160.1382,159.1447
Medium,5950,193.9684,192.4542
Medium,5600,61.061,57.9894
Medium,6150,30.2631,29.2184
Medium,5650,48.7978,47.4234
Medium,5500,56.7967,55.6778
Medium,5950,13.5806,12.559
Medium,5400,68.5191,67.6151
Medium,6450,3.6779,2.7216
Medium,5500,101.185,100.4046
Medium,6350,173.6583,171.9206
Medium,6050,7.9927,7.2094
Medium,5500,8.4157,7.6495
Medium,6350,21.4882,14.1199
Medium,6050,297.1371,296.0799
Medium,5650,25.865,24.7673
Medium,6250,57.2286,56
Medium,5500,4.2423,3.4032
Medium,5800,12.7947,11.2845
Medium,5400,10.2817,9.4139
Medium,5650,3.7569,2.9852
Medium,5850,4.8512,3.9125
Medium,5650,6.3075,5.4974
Medium,6050,39.261,37.9753
Medium,5400,9.0351,8.2457
Medium,6550,73.8935,71.4018
Medium,5950,157.8884,153.9972
Medium,5700,4.5646,3.6393
Medium,5500,50.2474,49.2227
Medium,5400,18.9581,16.928
Medium,5400,22.1861,18.8384
Medium,5700,1077.8136,1076.8903
Medium,6650,9.4092,8.0469
Medium,6650,74.5589,69.7456
Medium,5600,128.4153,127.1574
Medium,5500,139.917,138.9359
Medium,5600,10.8045,10.0087
Medium,6350,71.4446,70.0626
Medium,5400,30.0558,29.2828
Medium,5400,8.8812,8.027
Medium,5700,169.9984,168.8798
Medium,6800,3.4365,2.5054
Medium,5950,14.2105,12.9248
Medium,5600,120.5839,118.5589
Medium,5500,29.4376,28.3367
Medium,5950,14.2782,13.2372
Medium,5950,11.0433,10.0198
Medium,6450,327.4352,325.9477
Medium,5950,126.1699,124.7228
Medium,6550,38.7361,37.6671
Medium,5750,25.1074,23.4485
Medium,5400,3.7211,2.9859
Medium,6300,8.0071,7.0958
Medium,5400,112.6027,111.8365
Medium,5500,6.1713,5.3942
Medium,6450,35.2002,34.0191
Medium,5700,35.9202,34.3853
Medium,5400,20.3723,19.5966
Medium,6850,94.5114,93.4815
Medium,5750,33.2533,31.5253
Medium,6750,119.717,118.266
Medium,6150,124.3298,122.7276
Medium,5600,25.1571,23.3423
Medium,5600,368.656,367.5029
Medium,5600,342.6521,341.5555
Medium,5700,72.6691,70.4719
Medium,5400,23.8667,23.0127
Medium,5950,4.8758,3.5862
Medium,5400,83.0861,82.3557
Medium,5400,21.6334,20.7988
Medium,5400,9.2576,8.1467
Medium,5700,183.8233,182.9577
Medium,5750,38.024,37.2901
Medium,5800,585.0758,583.6912
Medium,5850,4.8534,3.9949
Medium,5400,14.0969,13.2657
Medium,5500,1068.5704,1067.5867
Medium,5850,695.6368,693.7269
Medium,5500,9.8931,8.7139
Medium,6500,52.2817,51.3928
Medium,5700,42.1048,40.8502
Medium,6350,219.4751,218.0915
